wavelength,Fe3+,Fe3+ - Bisabolol,Fe2+ - Bisabolol,Fe2+ - Bisabolol - CO
414,0.598855,0.588705,0.554966,0.277002
413,0.589314,0.579989,0.548391,0.256728
412,0.575587,0.567727,0.538319,0.236843
411,0.559713,0.553298,0.526258,0.217974
410,0.542227,0.538172,0.513706,0.201656
409,0.523639,0.520936,0.499021,0.186901
408,0.502905,0.503308,0.483953,0.173839
407,0.482736,0.485457,0.468559,0.161774
406,0.463249,0.46891,0.454309,0.15319
405,0.444095,0.45138,0.440372,0.145009
404,0.424813,0.434747,0.425975,0.137853
403,0.406005,0.419449,0.413125,0.13258
402,0.388374,0.404328,0.400663,0.128574
401,0.37309,0.390549,0.389168,0.126325
400,0.357506,0.377629,0.377849,0.124386
399,0.34313,0.36516,0.367132,0.122963
398,0.329815,0.353771,0.357591,0.122382
397,0.317576,0.343388,0.349034,0.123145
396,0.305335,0.333061,0.339883,0.122864
395,0.294319,0.322957,0.331315,0.123019
394,0.283647,0.313774,0.324442,0.125118
393,0.274519,0.30573,0.316536,0.126386
392,0.264598,0.296379,0.308733,0.127868
391,0.256039,0.288671,0.302259,0.131719
390,0.246801,0.280357,0.294729,0.135341
389,0.238828,0.272988,0.28792,0.140659
388,0.231363,0.265759,0.281912,0.147083
387,0.224875,0.259097,0.275945,0.153911
386,0.2178,0.251828,0.270463,0.161728
385,0.212116,0.246247,0.264709,0.170867
384,0.207201,0.241198,0.26104,0.180996
383,0.202591,0.236209,0.256182,0.190407
382,0.197968,0.231688,0.252787,0.20022
381,0.194463,0.227514,0.249682,0.210536
380,0.19115,0.224134,0.247372,0.220756
379,0.187867,0.221049,0.244849,0.229609
378,0.185937,0.218657,0.244017,0.239632
377,0.184394,0.21693,0.243679,0.24807
376,0.182488,0.214027,0.243587,0.255926
375,0.181994,0.212447,0.244326,0.262829
374,0.18084,0.211231,0.244817,0.268894
373,0.180757,0.210588,0.247855,0.274976
372,0.181395,0.211075,0.251694,0.280119
371,0.18056,0.209842,0.253869,0.283064
370,0.18076,0.209924,0.259788,0.287425
369,0.181833,0.209479,0.264122,0.291218
368,0.180754,0.208279,0.270288,0.294533
367,0.181158,0.208174,0.275512,0.297227
366,0.181782,0.206693,0.283643,0.30086
365,0.183158,0.209348,0.293234,0.305969
364,0.185124,0.210201,0.304838,0.312868
363,0.184109,0.208707,0.314364,0.318867
362,0.184559,0.209886,0.329947,0.32712
361,0.184325,0.208862,0.340763,0.33531
360,0.185021,0.208121,0.356607,0.345778
359,0.183964,0.208603,0.372617,0.356931
358,0.182971,0.206747,0.389697,0.368605
357,0.182756,0.205931,0.410483,0.384686
356,0.180769,0.20279,0.427115,0.396546
355,0.180993,0.201308,0.452423,0.413534
354,0.178685,0.200784,0.476755,0.429026
353,0.176506,0.198633,0.4974,0.448334
352,0.173174,0.195336,0.525514,0.470599
351,0.170645,0.193532,0.553188,0.487017
350,0.16788,0.190101,0.579605,0.507247
349,0.16139,0.187656,0.607644,0.527608
348,0.161791,0.180683,0.719366,0.618705
347,0.159053,0.177475,0.756453,0.647441
346,0.154939,0.173215,0.808377,0.686617
345,0.152962,0.170302,0.860782,0.726986
344,0.149008,0.168238,0.918097,0.771754
343,0.145772,0.164317,0.980975,0.818621
342,0.145391,0.163159,1.043279,0.868122
341,0.142464,0.158862,1.112352,0.922526
340,0.138072,0.156109,1.181402,0.980105
339,0.137102,0.154649,1.255041,1.039086
338,0.132175,0.150288,1.333648,1.098839
337,0.129694,0.147032,1.411266,1.161022
336,0.126424,0.144743,1.494625,1.230404
335,0.123773,0.142703,1.576871,1.299299
334,0.121549,0.140004,1.66143,1.370842
333,0.117884,0.135726,1.747039,1.434864
332,0.115368,0.133756,1.838854,1.510218
331,0.114206,0.131126,1.921555,1.582858
330,0.110005,0.127362,1.995145,1.64877
329,0.107619,0.125312,2.090821,1.717738
328,0.105072,0.123203,2.180641,1.788398
327,0.102578,0.120815,2.264101,1.862512
326,0.101316,0.117843,2.356988,1.928634
325,0.097635,0.116123,2.431952,1.99778
324,0.095538,0.113117,2.498692,2.047904
323,0.094216,0.113473,2.571705,2.106009
322,0.092372,0.110781,2.652114,2.163269
321,0.09023,0.109015,2.70071,2.208525
320,0.089578,0.107721,2.756971,2.252891
319,0.087391,0.105349,2.792077,2.285738
318,0.087555,0.106016,2.831939,2.310613
317,0.086495,0.103542,2.851419,2.341444
316,0.083528,0.1025,2.905754,2.346687
315,0.084927,0.104072,2.906444,2.347791
314,0.084829,0.103486,2.894856,2.33797
313,0.084532,0.103468,2.861894,2.337742
312,0.085791,0.104196,2.861293,2.307401
311,0.084841,0.104051,2.792089,2.285806
310,0.087051,0.106137,2.742642,2.237745
309,0.089067,0.106594,2.669188,2.202088
308,0.089138,0.107372,2.579376,2.130164
307,0.091795,0.110366,2.524063,2.086675
306,0.094748,0.112677,2.460946,2.025451
305,0.098732,0.116619,2.368689,1.964216
304,0.104482,0.121952,2.284813,1.895535
303,0.111321,0.12848,2.190335,1.824019
302,0.118457,0.135632,2.10336,1.752119
301,0.127486,0.144537,2.016726,1.683779
300,0.138702,0.155388,1.926177,1.612604
299,0.150234,0.167173,1.837814,1.543765
298,0.164502,0.181515,1.755601,1.478776
297,0.180665,0.197301,1.678103,1.417515
296,0.19992,0.216168,1.606831,1.360118
295,0.221425,0.237634,1.539119,1.309458
294,0.245838,0.262964,1.481173,1.265863
293,0.271275,0.288795,1.42755,1.227469
292,0.295567,0.311414,1.377502,1.189932
291,0.310089,0.325682,1.323303,1.150078
290,0.31605,0.330301,1.267597,1.104877
289,0.316757,0.330677,1.213385,1.062155
288,0.320248,0.334365,1.168803,1.027925
287,0.330667,0.345883,1.139351,1.004511
286,0.345808,0.361313,1.120605,0.992076
285,0.363393,0.377754,1.107081,0.984772
284,0.375064,0.389981,1.094248,0.978408
283,0.381808,0.396642,1.082012,0.971247
282,0.384324,0.398843,1.070195,0.96313
281,0.384071,0.398634,1.061098,0.95554
280,0.382325,0.396757,1.053647,0.950746
279,0.379996,0.394622,1.049158,0.9485
278,0.377043,0.392796,1.047193,0.947752
277,0.375036,0.390249,1.048197,0.948935
276,0.374069,0.389796,1.052927,0.953677
275,0.371959,0.387748,1.059151,0.959027
274,0.369152,0.385013,1.066985,0.96535
273,0.363701,0.378902,1.074191,0.970711
272,0.357739,0.374142,1.082527,0.978226
271,0.351487,0.368138,1.093645,0.986509
270,0.345492,0.362277,1.105552,0.99549
269,0.338938,0.354883,1.118188,1.005636
268,0.330399,0.347377,1.133379,1.017537
267,0.323392,0.338904,1.150887,1.029914
266,0.315056,0.331651,1.170365,1.046105
265,0.30647,0.323516,1.191846,1.062308
264,0.298466,0.314487,1.217585,1.080149
263,0.28887,0.305974,1.245406,1.10275
