wavelength,Fe3+,Fe3+ - Bisabolol,Fe2+ - Bisabolol,Fe2+ - Bisabolol - CO
329,0.163446,0.190995,10,10
328,0.160577,0.188608,10,10
327,0.156597,0.185213,10,10
326,0.15455,0.182766,10,10
325,0.150471,0.178879,10,10
324,0.147085,0.176417,10,10
323,0.145877,0.174384,10,10
322,0.143929,0.171949,10,10
321,0.141985,0.170522,10,10
320,0.140105,0.169186,10,10
319,0.138189,0.166358,10,10
318,0.137913,0.165467,10,10
317,0.13705,0.164236,10,10
316,0.13499,0.162418,10,10
315,0.136472,0.162049,10,10
314,0.136221,0.161895,10,10
313,0.1373,0.162112,10,10
312,0.138012,0.162258,10,10
311,0.138926,0.161944,10,10
310,0.142432,0.163619,10,10
309,0.144829,0.16522,10,10
308,0.149194,0.167352,10,10
307,0.154341,0.171194,10,10
306,0.161035,0.176367,10,10
305,0.168708,0.183205,10,10
304,0.180205,0.192212,10,10
303,0.192889,0.202864,10,10
302,0.208622,0.217267,10,10
301,0.227193,0.234413,10,10
300,0.248571,0.254734,10,10
299,0.271862,0.277369,10,10
298,0.30007,0.304164,10,10
297,0.330829,0.335273,10,10
296,0.366863,0.371456,10,10
295,0.408518,0.412689,10,4.205248
294,0.457506,0.462214,10,3.813062
293,0.510913,0.515124,10,3.74052
292,0.562511,0.56664,10,3.319568
291,0.60232,0.60397,3.928811,3.166641
290,0.625068,0.624665,3.534803,2.988887
289,0.63772,0.633959,3.311657,2.831873
288,0.648871,0.646166,3.132352,2.705079
287,0.67176,0.669222,2.995339,2.620196
286,0.703538,0.703195,2.913229,2.567428
285,0.737494,0.739217,2.846275,2.534619
284,0.766099,0.767551,2.797355,2.50429
283,0.784344,0.784953,2.747446,2.460609
282,0.791627,0.792037,2.740553,2.436051
281,0.794213,0.794302,2.691967,2.419418
280,0.793794,0.794301,2.668585,2.397959
279,0.790963,0.792005,2.655087,2.393545
278,0.786914,0.788895,2.655332,2.388772
277,0.781373,0.784756,2.647583,2.395623
276,0.776827,0.781042,2.668881,2.405697
275,0.771798,0.776933,2.680822,2.427224
274,0.764304,0.770394,2.709468,2.450179
273,0.752069,0.759268,2.751046,2.475059
272,0.739499,0.746773,2.773711,2.498304
271,0.725595,0.733971,2.806064,2.522966
270,0.71173,0.719157,2.838328,2.550915
269,0.695869,0.70467,2.89993,2.595183
268,0.678003,0.688162,2.946806,2.619026
267,0.661822,0.671077,3.009554,2.685501
266,0.643716,0.654057,3.098295,2.736074
265,0.625845,0.63626,3.169791,2.782379
264,0.606665,0.617949,3.276851,2.861138
263,0.587433,0.597935,3.455057,2.946687
262,0.569551,0.580244,3.593906,3.035692
261,0.554032,0.564076,3.967323,3.160551
260,0.539499,0.549538,10,3.332335
259,0.52515,0.535414,10,3.452539
258,0.510579,0.520244,10,3.679499
257,0.495907,0.505341,10,3.986407
256,0.481928,0.491445,10,10
255,0.47223,0.480584,10,10
254,0.464798,0.473225,10,10
253,0.459976,0.468476,10,10
252,0.457125,0.465201,10,10
251,0.45516,0.46299,10,10
250,0.458162,0.464936,10,10
